Branch Name,Commit Hash,File Name,Method Name,Method Code,Commit Link
master,726f5fc7464b6ebeb4accc8ff2816e375425a383,cleanup.py,rep,"def rep(m):
	if m.group(1) in FUNCS:
		print(m.group(1)
)
		return m.group(0)
	return ''",https://www.github.com/cesena/ghidra2dwarf/commit/726f5fc7464b6ebeb4accc8ff2816e375425a383
master,a09e41ca743248e97141b6c391bd85884df7a441,repl.py,read_byte,"def read_byte(sock):
    return ord(sock.recv(1))",https://www.github.com/cesena/ghidra2dwarf/commit/a09e41ca743248e97141b6c391bd85884df7a441
master,a09e41ca743248e97141b6c391bd85884df7a441,repl.py,write_byte,"def write_byte(sock, b):
    return sock.send(chr(b))",https://www.github.com/cesena/ghidra2dwarf/commit/a09e41ca743248e97141b6c391bd85884df7a441
master,a09e41ca743248e97141b6c391bd85884df7a441,repl.py,read_packet,"def read_packet(sock):
    toread = struct.unpack('<l', sock.recv(4))[0]
    buf = bytearray(toread)
    view = memoryview(buf)
    while toread:
        nbytes = sock.recv_into(view, toread)
        view = view[nbytes:]
        toread -= nbytes
    return buf",https://www.github.com/cesena/ghidra2dwarf/commit/a09e41ca743248e97141b6c391bd85884df7a441
master,a09e41ca743248e97141b6c391bd85884df7a441,repl.py,write_packet,"def write_packet(sock, msg):
    sock.sendall(struct.pack('<l', len(msg)))
    return sock.sendall(msg)",https://www.github.com/cesena/ghidra2dwarf/commit/a09e41ca743248e97141b6c391bd85884df7a441
master,a09e41ca743248e97141b6c391bd85884df7a441,repl.py,crypt_pwd,"def crypt_pwd(pwd, x):
    return ''.join(chr(b ^ x) for b in bytearray(pwd))",https://www.github.com/cesena/ghidra2dwarf/commit/a09e41ca743248e97141b6c391bd85884df7a441
master,a09e41ca743248e97141b6c391bd85884df7a441,repl.py,__init__,"    def __init__(self):
        server_address = ('localhost', 6666)
        sock = self.sock = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
        sock.connect(server_address)
        b = read_byte(sock)
        write_packet(sock, crypt_pwd(PWD.encode(), b).encode())",https://www.github.com/cesena/ghidra2dwarf/commit/a09e41ca743248e97141b6c391bd85884df7a441
master,a09e41ca743248e97141b6c391bd85884df7a441,repl.py,repl,"    def repl(self, code):
        sock = self.sock
        write_packet(sock, code.encode())
        out = read_packet(sock)
        return bytes(out).decode()",https://www.github.com/cesena/ghidra2dwarf/commit/a09e41ca743248e97141b6c391bd85884df7a441
master,a09e41ca743248e97141b6c391bd85884df7a441,repl.py,kill,"    def kill(self):
        self.sock.close()",https://www.github.com/cesena/ghidra2dwarf/commit/a09e41ca743248e97141b6c391bd85884df7a441
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,kernel.py,__init__,"    def __init__(self, **kwargs):
        IPythonKernel.__init__(self, **kwargs)

        self.jython = None
        self._init_jython()",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,kernel.py,_init_jython,"    def _init_jython(self):
        ''' Initialize Ghidra's Jython interpreter. '''

        sig = signal.signal(signal.SIGINT, signal.SIG_DFL)
        try:
           self.jython = GhidraJythonRepl()
        finally:
            signal.signal(signal.SIGINT, sig)",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,kernel.py,execution_count,"    def execution_count(self):
        return Kernel.execution_count",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,kernel.py,execution_count,"    def execution_count(self, value):
        Kernel.execution_count = value",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,kernel.py,do_execute,"    def do_execute(self, code, silent, store_history=True, user_expressions=None, allow_stdin=False):
        if not silent:
            stream_content = {'name': 'stdout', 'text': self.jython.repl(code)}
            self.send_response(self.iopub_socket, 'stream', stream_content)

        return {
            'status': 'ok',
            'execution_count': Kernel.execution_count,
            'payload': [],
            'user_expressions': {}
        }",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,kernel.py,do_shutdown,"    def do_shutdown(self, restart):
        self.jython.kill()
        IPythonKernel.do_shutdown(self, restart)
        return {
            'status':'ok',
            'restart': restart
        }",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,repl.py,read_byte,"def read_byte(sock):
    return ord(sock.recv(1))",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,repl.py,write_byte,"def write_byte(sock, b):
    return sock.send(chr(b))",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,repl.py,read_packet,"def read_packet(sock):
    toread = struct.unpack('<l', sock.recv(4))[0]
    buf = bytearray(toread)
    view = memoryview(buf)
    while toread:
        nbytes = sock.recv_into(view, toread)
        view = view[nbytes:]
        toread -= nbytes
    return buf",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,repl.py,write_packet,"def write_packet(sock, msg):
    sock.sendall(struct.pack('<l', len(msg)))
    return sock.sendall(msg)",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,repl.py,crypt_pwd,"def crypt_pwd(pwd, x):
    return bytearray(b ^ x for b in bytearray(pwd))",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,repl.py,__init__,"    def __init__(self):
        server_address = ('localhost', 6666)
        sock = self.sock = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
        sock.connect(server_address)
        b = read_byte(sock)
        write_packet(sock, crypt_pwd(PWD.encode(), b))",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,repl.py,repl,"    def repl(self, code):
        sock = self.sock
        write_packet(sock, code.encode())
        out = read_packet(sock)
        return bytes(out).decode()",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181,repl.py,kill,"    def kill(self):
        self.sock.close()",https://www.github.com/cesena/ghidra2dwarf/commit/43a8b56f775b0afe88cc7cecfbf6b9f9cb76e181
master,e74b4bd2c7d184402e5f040dda07ca59bfc8b78a,dwarfexport.py,add_debug_info,"def add_debug_info(info):
    dbg = info.dbg
    err = info.err
    dwarf_pro_set_default_string_form(dbg, DW_FORM_string, err)
    cu = dwarf_new_die(dbg, DW_TAG_compile_unit, None, None, None, None, err)
    print(cu)
    dwarf_add_AT_name(cu, curr.name + "".c"", info.err)
    dir_index = dwarf_add_directory_decl(dbg, curr.name + "".dbg"", err)
    file_index = dwarf_add_file_decl(dbg, curr.name + "".c"", dir_index, 0, 0, err)
    print(dir_index)
    print(file_index)",https://www.github.com/cesena/ghidra2dwarf/commit/e74b4bd2c7d184402e5f040dda07ca59bfc8b78a
master,e74b4bd2c7d184402e5f040dda07ca59bfc8b78a,dwarfexport.py,__init__,"    def __init__(self):
        self.elf = 0
        self.mode = 8
        self.dbg = PointerByReference()
        self.err = PointerByReference()
        dwarf_producer_init(
            DW_DLC_WRITE
            | DW_DLC_SYMBOLIC_RELOCATIONS
            | DW_DLC_POINTER64
            | DW_DLC_OFFSET32
            | DW_DLC_TARGET_LITTLEENDIAN,
            lambda x: 0,
            None,
            None,
            None,
            ""x86_64"",
            ""V2"",
            None,
            self.dbg,
            self.err,
        )
        self.dbg = Dwarf_P_Debug(self.dbg.value)",https://www.github.com/cesena/ghidra2dwarf/commit/e74b4bd2c7d184402e5f040dda07ca59bfc8b78a
master,458a02307a310c90cae6f763646367d1d5758726,dwarfexport.py,add_debug_info,"def add_debug_info(info):
    dbg = info.dbg
    err = info.err
    dwarf_pro_set_default_string_form(dbg, DW_FORM_string, err)
    cu = dwarf_new_die(dbg, DW_TAG_compile_unit, None, None, None, None, err)
    print(cu)
    dwarf_add_AT_name(cu, ext_c(curr.name), info.err)
    dir_index = dwarf_add_directory_decl(dbg, ext_dbg(curr.name), err)
    file_index = dwarf_add_file_decl(dbg, ext_c(curr.name), dir_index, 0, 0, err)
    print(dir_index)
    print(file_index)",https://www.github.com/cesena/ghidra2dwarf/commit/458a02307a310c90cae6f763646367d1d5758726
master,458a02307a310c90cae6f763646367d1d5758726,dwarfexport.py,__init__,"    def __init__(self):
        self.elf = 0
        self.mode = 8
        self.dbg = PointerByReference()
        self.err = PointerByReference()
        dwarf_producer_init(
            DW_DLC_WRITE
            | DW_DLC_SYMBOLIC_RELOCATIONS
            | DW_DLC_POINTER64
            | DW_DLC_OFFSET32
            | DW_DLC_TARGET_LITTLEENDIAN,
            lambda x: 0,
            None,
            None,
            None,
            ""x86_64"",
            ""V2"",
            None,
            self.dbg,
            self.err,
        )
        self.dbg = Dwarf_P_Debug(self.dbg.value)",https://www.github.com/cesena/ghidra2dwarf/commit/458a02307a310c90cae6f763646367d1d5758726
master,1c0230e9d4b8bd0b9137f6fd16c8c63423b66a3b,dwarfexport.py,add_debug_info,"def add_debug_info(info):
    dbg = info.dbg
    err = info.err
    dwarf_pro_set_default_string_form(dbg, DW_FORM_string, err)
    cu = dwarf_new_die(dbg, DW_TAG_compile_unit, None, None, None, None, err)
    print(cu)
    dwarf_add_AT_name(cu, ext_c(curr.name), info.err)
    dir_index = dwarf_add_directory_decl(dbg, ext_dbg(curr.name), err)
    file_index = dwarf_add_file_decl(dbg, ext_c(curr.name), dir_index, 0, 0, err)
    print(dir_index)
    print(file_index)
    # dwarf_add_AT_comp_dir(cu, ext_dbg(curr.name), err)
    # memory = curr.getMemory()
    # Get sections
    # memory.getBlocks()

    # Get segments
    # memory.getLoadedAndInitializedAddressSet()

    # Get executable segments
    # list(memory.getExecuteSet().getAddressRanges())

    # However we can omit this step and directly decompile all functions

    ifc = DecompInterface()
    ifc.openProgram(curr)
    fm = curr.getFunctionManager()
    funcs = fm.getFunctions(True)
    for f in funcs:
        pass",https://www.github.com/cesena/ghidra2dwarf/commit/1c0230e9d4b8bd0b9137f6fd16c8c63423b66a3b
master,1c0230e9d4b8bd0b9137f6fd16c8c63423b66a3b,dwarfexport.py,__init__,"    def __init__(self):
        self.elf = 0
        self.mode = 8
        self.dbg = PointerByReference()
        self.err = PointerByReference()
        dwarf_producer_init(
            DW_DLC_WRITE
            | DW_DLC_SYMBOLIC_RELOCATIONS
            | DW_DLC_POINTER64
            | DW_DLC_OFFSET32
            | DW_DLC_TARGET_LITTLEENDIAN,
            lambda x: 0,
            None,
            None,
            None,
            ""x86_64"",
            ""V2"",
            None,
            self.dbg,
            self.err,
        )
        self.dbg = Dwarf_P_Debug(self.dbg.value)",https://www.github.com/cesena/ghidra2dwarf/commit/1c0230e9d4b8bd0b9137f6fd16c8c63423b66a3b
master,65d115225b73b207828d251c630e24f750d5f6dc,dwarfexport.py,add_debug_info,"def add_debug_info(info):
    dbg = info.dbg
    err = info.err
    dwarf_pro_set_default_string_form(dbg, DW_FORM_string, err)
    cu = dwarf_new_die(dbg, DW_TAG_compile_unit, None, None, None, None, err)
    print(cu)
    dwarf_add_AT_name(cu, ext_c(curr.name), info.err)
    dir_index = dwarf_add_directory_decl(dbg, ext_dbg(curr.name), err)
    file_index = dwarf_add_file_decl(dbg, ext_c(curr.name), dir_index, 0, 0, err)
    print(dir_index)
    print(file_index)
    dwarf_add_AT_comp_dir(cu, ext_dbg(curr.name), err)
    # memory = curr.getMemory()
    # Get sections
    # memory.getBlocks()

    # Get segments
    # memory.getLoadedAndInitializedAddressSet()

    # Get executable segments
    # list(memory.getExecuteSet().getAddressRanges())

    # However we can omit this step and directly decompile all functions

    ifc = DecompInterface()
    ifc.openProgram(curr)
    fm = curr.getFunctionManager()
    funcs = fm.getFunctions(True)
    for f in funcs:
        add_function(info, cu, f, 1, file_index)
        pass",https://www.github.com/cesena/ghidra2dwarf/commit/65d115225b73b207828d251c630e24f750d5f6dc
master,65d115225b73b207828d251c630e24f750d5f6dc,dwarfexport.py,add_function,"def add_function(info, cu, func, linecount, file_index):
    dbg = info.dbg
    err = info.err
    die = dwarf_new_die(dbg, DW_TAG_subprogram, cu, None, None, None, err)
    loc_expr = dwarf_new_expr(dbg, err)
    # I don't know if it is linecount - 1 or what
    if dwarf_add_expr_gen(loc_expr, DW_OP_call_frame_cfa, 0, 0, err) == linecount - 1:
        print(""error"")",https://www.github.com/cesena/ghidra2dwarf/commit/65d115225b73b207828d251c630e24f750d5f6dc
master,65d115225b73b207828d251c630e24f750d5f6dc,dwarfexport.py,__init__,"    def __init__(self):
        self.elf = 0
        self.mode = 8
        self.dbg = PointerByReference()
        self.err = PointerByReference()
        dwarf_producer_init(
            DW_DLC_WRITE
            | DW_DLC_SYMBOLIC_RELOCATIONS
            | DW_DLC_POINTER64
            | DW_DLC_OFFSET32
            | DW_DLC_TARGET_LITTLEENDIAN,
            lambda x: 0,
            None,
            None,
            None,
            ""x86_64"",
            ""V2"",
            None,
            self.dbg,
            self.err,
        )
        self.dbg = Dwarf_P_Debug(self.dbg.value)",https://www.github.com/cesena/ghidra2dwarf/commit/65d115225b73b207828d251c630e24f750d5f6dc
master,5458523c6cefe4b52a19e8c61c37f7e0036df626,dwarfexport.py,add_debug_info,"def add_debug_info(info):
    dbg = info.dbg
    err = info.err
    dwarf_pro_set_default_string_form(dbg, DW_FORM_string, err)
    cu = dwarf_new_die(dbg, DW_TAG_compile_unit, None, None, None, None, err)
    print(cu)
    dwarf_add_AT_name(cu, ext_c(curr.name), info.err)
    dir_index = dwarf_add_directory_decl(dbg, ext_dbg(curr.name), err)
    file_index = dwarf_add_file_decl(dbg, ext_c(curr.name), dir_index, 0, 0, err)
    print(dir_index)
    print(file_index)
    dwarf_add_AT_comp_dir(cu, ext_dbg(curr.name), err)
    # memory = curr.getMemory()
    # Get sections
    # memory.getBlocks()

    # Get segments
    # memory.getLoadedAndInitializedAddressSet()

    # Get executable segments
    # list(memory.getExecuteSet().getAddressRanges())

    # However we can omit this step and directly decompile all functions

    ifc = DecompInterface()
    ifc.openProgram(curr)
    fm = curr.getFunctionManager()
    funcs = fm.getFunctions(True)
    for f in funcs:
        add_function(info, cu, f, 1, file_index)
        pass",https://www.github.com/cesena/ghidra2dwarf/commit/5458523c6cefe4b52a19e8c61c37f7e0036df626
master,5458523c6cefe4b52a19e8c61c37f7e0036df626,dwarfexport.py,add_function,"def add_function(info, cu, func, linecount, file_index):
    dbg = info.dbg
    err = info.err
    die = dwarf_new_die(dbg, DW_TAG_subprogram, cu, None, None, None, err)
    loc_expr = dwarf_new_expr(dbg, err)
    # I don't know if it is linecount - 1 or what
    if dwarf_add_expr_gen(loc_expr, DW_OP_call_frame_cfa, 0, 0, err) == linecount - 1:
        print(""error"")",https://www.github.com/cesena/ghidra2dwarf/commit/5458523c6cefe4b52a19e8c61c37f7e0036df626
master,5458523c6cefe4b52a19e8c61c37f7e0036df626,dwarfexport.py,__init__,"    def __init__(self):
        self.elf = 0
        self.mode = 8
        self.dbg = PointerByReference()
        self.err = PointerByReference()
        dwarf_producer_init(
            DW_DLC_WRITE
            | DW_DLC_SYMBOLIC_RELOCATIONS
            | DW_DLC_POINTER64
            | DW_DLC_OFFSET32
            | DW_DLC_TARGET_LITTLEENDIAN,
            lambda x: 0,
            None,
            None,
            None,
            ""x86_64"",
            ""V2"",
            None,
            self.dbg,
            self.err,
        )
        self.dbg = Dwarf_P_Debug(self.dbg.value)",https://www.github.com/cesena/ghidra2dwarf/commit/5458523c6cefe4b52a19e8c61c37f7e0036df626
master,5458523c6cefe4b52a19e8c61c37f7e0036df626,dwarfexport.py,__init__,"    def __init__(
        self, use_dec=False, only_dec_nam_fun=False, att_deb_inf=False, verbose=False
    ):
        self.use_decompiler = use_dec
        self.only_decompile_named_funcs = only_dec_nam_fun
        self.attach_debug_info = att_deb_inf
        self.verbose = verbose
        self.filepath = """"
        self.filename = """"
        self.dwarf_source_path = """"
        self.export_options = 0",https://www.github.com/cesena/ghidra2dwarf/commit/5458523c6cefe4b52a19e8c61c37f7e0036df626
